Accession,Pangolin,Length,Country,Collection_Date,Year,Month,Day
OX432155,BQ.1,29850,United Kingdom,2022-11-10,2022,11,10
OX432156,BA.5.1,29844,United Kingdom,2022-10-02,2022,10,2
OX432160,BQ.1.26,29841,United Kingdom,2022-12-19,2022,12,19
OX432162,BA.2,29850,United Kingdom,2022-03-03,2022,3,3
OX432171,BA.5.1,29840,United Kingdom,2022-12-21,2022,12,21
OX432172,BA.5.1.30,29847,United Kingdom,2022-06-29,2022,6,29
OX432178,BA.5.2.3,29846,United Kingdom,2022-07-15,2022,7,15
OX432179,BQ.1.1.2,29853,United Kingdom,2022-11-23,2022,11,23
OX432181,BQ.1.2,29855,United Kingdom,2022-12-24,2022,12,24
OX432183,BF.11.5,29846,United Kingdom,2022-11-28,2022,11,28
OX432184,BF.1,29854,United Kingdom,2022-07-19,2022,7,19
OX432189,BF.7.5,29843,United Kingdom,2022-10-18,2022,10,18
OX432192,BA.5.2.13,29852,United Kingdom,2022-10-23,2022,10,23
OX432193,BA.4.6,29841,United Kingdom,2022-07-16,2022,7,16
OX432194,BE.1.1,29844,United Kingdom,2022-10-05,2022,10,5
OX432205,BA.5.2.1,29854,United Kingdom,2022-08-15,2022,8,15
OX432208,BF.11.1,29845,United Kingdom,2022-09-23,2022,9,23
OX432209,EF.2,29841,United Kingdom,2022-12-03,2022,12,3
OX432210,BA.5.2.6,29850,United Kingdom,2022-11-02,2022,11,2
OX432218,BA.4.7,29837,United Kingdom,2022-11-23,2022,11,23
OX432219,BA.5.2.3,29835,United Kingdom,2022-06-28,2022,6,28
OX432229,BQ.1.1.15,29853,United Kingdom,2022-10-23,2022,10,23
OX432231,BQ.1.5,29844,United Kingdom,2022-10-04,2022,10,4
OX432235,BA.5.1,29870,United Kingdom,2022-06-30,2022,6,30
OX432237,BF.7.4.2,29844,United Kingdom,2022-10-07,2022,10,7
OX432240,BF.7,29852,United Kingdom,2022-10-21,2022,10,21
OX432243,BE.1.1,29851,United Kingdom,2022-07-12,2022,7,12
OX432248,BE.1.1,29847,United Kingdom,2022-08-27,2022,8,27
OX432255,BA.5.1.30,29852,United Kingdom,2022-08-11,2022,8,11
OX432256,BQ.1.8,29848,United Kingdom,2022-12-12,2022,12,12
OX432258,CH.1.1,29857,United Kingdom,2022-12-28,2022,12,28
OX432259,BN.1.2.1,29858,United Kingdom,2022-11-27,2022,11,27
OX432261,BA.4.4,29843,United Kingdom,2022-07-10,2022,7,10
OX432265,BA.5.1.22,29846,United Kingdom,2022-07-21,2022,7,21
OX432275,BA.2.75.2,29850,United Kingdom,2022-10-08,2022,10,8
OX432278,BA.2.23,29883,United Kingdom,2022-06-26,2022,6,26
OX432280,BN.1.4.1,29853,United Kingdom,2022-11-28,2022,11,28
OX432284,BQ.1.1.19,29846,United Kingdom,2022-12-02,2022,12,2
OX432288,BA.5.2,29844,United Kingdom,2022-10-03,2022,10,3
OX432292,BA.5.2.9,29847,United Kingdom,2022-10-25,2022,10,25
OX432297,BQ.1.1.13,29848,United Kingdom,2022-12-27,2022,12,27
OX432298,BA.4,29839,United Kingdom,2022-07-16,2022,7,16
OX432307,BQ.1.1.6,29849,United Kingdom,2022-12-31,2022,12,31
OX432309,BQ.1.3,29853,United Kingdom,2022-11-22,2022,11,22
OX432312,BA.5.2.1,29847,United Kingdom,2022-09-19,2022,9,19
OX432323,BF.7,29844,United Kingdom,2022-11-20,2022,11,20
OX432324,BA.2.12.1,29858,United Kingdom,2022-07-29,2022,7,29
OX432327,BF.5,29844,United Kingdom,2022-10-04,2022,10,4
OX432330,EF.1.1,29841,United Kingdom,2022-12-27,2022,12,27
OX432331,BA.2,29852,United Kingdom,2022-10-14,2022,10,14
OX432339,BN.1.3.1,29857,United Kingdom,2022-12-05,2022,12,5
OX432345,BE.1.4.1,29851,United Kingdom,2022-10-24,2022,10,24
OX432347,BE.1,29851,United Kingdom,2022-06-22,2022,6,22
OX432350,BA.1.17.2,29879,United Kingdom,2021-12-22,2021,12,22
OX432356,BA.5.8,29852,United Kingdom,2022-06-27,2022,6,27
OX432363,BF.7,29851,United Kingdom,2022-08-04,2022,8,4
OX432365,BQ.1.8.2,29843,United Kingdom,2022-11-30,2022,11,30
OX432369,XBB.1.5,29850,United Kingdom,2022-12-12,2022,12,12
OX432372,BA.4.6.5,29836,United Kingdom,2022-10-27,2022,10,27
OX432375,BQ.1.1,29851,United Kingdom,2022-10-24,2022,10,24
OX432380,BN.1.5,29857,United Kingdom,2022-11-15,2022,11,15
OX432381,BQ.1.1.5,29839,United Kingdom,2022-12-06,2022,12,6
OX432384,BA.1.16,29879,United Kingdom,2022-02-04,2022,2,4
OX432387,BA.5.1.11,29851,United Kingdom,2022-08-07,2022,8,7
OX432390,BA.4.6,29833,United Kingdom,2022-10-04,2022,10,4
OX432399,BA.5.2.20,29848,United Kingdom,2022-08-20,2022,8,20
OX432401,BF.7,29846,United Kingdom,2022-09-13,2022,9,13
OX432402,BA.4.6,29835,United Kingdom,2022-09-26,2022,9,26
OX432405,BA.5.2.3,29844,United Kingdom,2022-08-10,2022,8,10
OX432408,BM.1.1.3,29850,United Kingdom,2022-11-21,2022,11,21
OX432410,BQ.1.1.8,29851,United Kingdom,2022-11-12,2022,11,12
OX432413,BN.1.7,29847,United Kingdom,2022-11-10,2022,11,10
OX432418,BQ.1.18,29844,United Kingdom,2022-12-27,2022,12,27
OX432420,BF.7.4,29846,United Kingdom,2022-08-27,2022,8,27
OX432424,BQ.1,29848,United Kingdom,2022-10-26,2022,10,26
OX432425,BA.2.75.2,29850,United Kingdom,2022-11-11,2022,11,11
OX432430,BA.5.2.24,29846,United Kingdom,2022-10-26,2022,10,26
OX432432,BA.5.2.56,29852,United Kingdom,2022-11-04,2022,11,4
OX432433,BQ.1.1.2,29853,United Kingdom,2022-12-19,2022,12,19
OX432438,BN.1.2.1,29858,United Kingdom,2022-12-30,2022,12,30
OX432439,BQ.1.1.56,29851,United Kingdom,2022-12-27,2022,12,27
OX432444,BA.5.1.22,29846,United Kingdom,2022-08-30,2022,8,30
OX432455,BF.1,29849,United Kingdom,2022-10-19,2022,10,19
OX432457,BA.5.1.24,29851,United Kingdom,2022-07-23,2022,7,23
OX432461,BQ.1.23,29844,United Kingdom,2022-12-27,2022,12,27
OX432462,BA.5.1.10,29849,United Kingdom,2022-09-05,2022,9,5
OX432465,BN.1,29858,United Kingdom,2022-10-23,2022,10,23
OX432469,BF.5,29846,United Kingdom,2022-07-31,2022,7,31
OX432474,BF.7.4,29849,United Kingdom,2022-09-13,2022,9,13
OX432475,BA.5.2.1,29848,United Kingdom,2022-06-27,2022,6,27
OX432477,BA.5.1,29846,United Kingdom,2022-09-28,2022,9,28
OX432479,BN.1.3.1,29858,United Kingdom,2022-10-31,2022,10,31
OX432480,BQ.1.1.1,29844,United Kingdom,2022-12-27,2022,12,27
OX432485,BQ.2,29848,United Kingdom,2022-10-13,2022,10,13
OX432488,BA.5.2.20,29846,United Kingdom,2022-07-27,2022,7,27
OX432493,BQ.1.12,29846,United Kingdom,2022-11-19,2022,11,19
OX432494,BA.4.1,29838,United Kingdom,2022-07-16,2022,7,16
OX432506,BA.5.2.25,29844,United Kingdom,2022-09-27,2022,9,27
OX432508,BF.4,29851,United Kingdom,2022-06-21,2022,6,21
OX432512,BQ.1.1.18,29846,United Kingdom,2022-12-19,2022,12,19
OX432518,BA.5.2,29853,United Kingdom,2022-06-29,2022,6,29
OX432520,BQ.1.10,29843,United Kingdom,2022-11-14,2022,11,14
OX432523,BE.1,29855,United Kingdom,2022-07-24,2022,7,24
OX432524,XAZ,29847,United Kingdom,2022-06-29,2022,6,29
OX432526,BA.5.1.23,29852,United Kingdom,2022-08-30,2022,8,30
OX432527,BF.6,29847,United Kingdom,2022-06-21,2022,6,21
OX432531,BA.5,29852,United Kingdom,2022-07-14,2022,7,14
OX432532,BQ.1.2,29844,United Kingdom,2022-10-07,2022,10,7
OX432537,BQ.1.1.7,29844,United Kingdom,2022-11-22,2022,11,22
OX432543,BA.4.1,29866,United Kingdom,2022-06-30,2022,6,30
OX432557,BA.4,29845,United Kingdom,2022-06-21,2022,6,21
OX432567,XBB.2,29854,United Kingdom,2022-12-28,2022,12,28
OX432568,BA.5.2.28,29852,United Kingdom,2022-08-15,2022,8,15
OX432571,BM.1.1.3,29855,United Kingdom,2022-12-05,2022,12,5
OX432572,BQ.1.8,29850,United Kingdom,2022-11-23,2022,11,23
OX432576,CK.2.1,29841,United Kingdom,2022-11-23,2022,11,23
OX432580,BF.41,29847,United Kingdom,2022-07-19,2022,7,19
OX432584,BF.6,29848,United Kingdom,2022-08-06,2022,8,6
OX432586,BA.5.2.3,29846,United Kingdom,2022-09-08,2022,9,8
OX432590,BA.5.8,29877,United Kingdom,2022-07-11,2022,7,11
OX432598,BA.5.1.33,29844,United Kingdom,2022-11-10,2022,11,10
OX432605,BA.5.1.33,29852,United Kingdom,2022-09-18,2022,9,18
OX432607,BF.4,29853,United Kingdom,2022-07-11,2022,7,11
OX432608,BQ.1.1.15,29843,United Kingdom,2022-11-24,2022,11,24
OX432612,BQ.1.12,29844,United Kingdom,2022-12-04,2022,12,4
OX432613,BA.5.3.3,29838,United Kingdom,2022-07-28,2022,7,28
OX432624,BA.5.2.34,29842,United Kingdom,2022-11-07,2022,11,7
OX432629,BQ.1.16,29844,United Kingdom,2022-10-19,2022,10,19
OX432633,BA.5.1.23,29851,United Kingdom,2022-06-28,2022,6,28
OX432635,BA.5.1.6,29855,United Kingdom,2022-07-14,2022,7,14
OX432637,BA.5.5,29855,United Kingdom,2022-07-18,2022,7,18
OX432642,BF.7.4,29844,United Kingdom,2022-07-12,2022,7,12
OX432645,BA.5.2.1,29844,United Kingdom,2022-10-05,2022,10,5
OX432646,BA.5.1.5,29847,United Kingdom,2022-06-26,2022,6,26
OX432650,EF.1.1,29848,United Kingdom,2022-10-19,2022,10,19
OX432656,XBB.1,29848,United Kingdom,2022-11-14,2022,11,14
OX432664,BQ.1.2,29851,United Kingdom,2022-11-29,2022,11,29
OX432665,XBB,29847,United Kingdom,2022-12-16,2022,12,16
OX432667,BF.11.2,29844,United Kingdom,2022-11-29,2022,11,29
OX432668,BQ.1.1.24,29848,United Kingdom,2022-12-21,2022,12,21
OX432670,BF.6,29852,United Kingdom,2022-07-15,2022,7,15
OX432672,BN.1.4,29858,United Kingdom,2022-12-04,2022,12,4
OX432697,BA.5.2.21,29846,United Kingdom,2022-08-12,2022,8,12
OX432711,BQ.1.1.3,29850,United Kingdom,2022-10-13,2022,10,13
OX432712,BQ.1.8,29843,United Kingdom,2022-10-15,2022,10,15
OX432716,BA.5.2.9,29852,United Kingdom,2022-07-25,2022,7,25
OX432719,BQ.1.1.7,29850,United Kingdom,2022-12-08,2022,12,8
OX432722,BF.10,29841,United Kingdom,2022-10-06,2022,10,6
OX432730,BQ.1.1.4,29843,United Kingdom,2022-12-30,2022,12,30
OX432731,BF.7.23,29844,United Kingdom,2022-08-30,2022,8,30
OX432734,CR.2,29844,United Kingdom,2022-11-14,2022,11,14
OX432748,XBF,29858,United Kingdom,2022-12-25,2022,12,25
OX432755,BF.7.4,29844,United Kingdom,2022-12-20,2022,12,20
OX432759,BF.7.21,29844,United Kingdom,2022-08-31,2022,8,31
OX432763,BF.10,29844,United Kingdom,2022-09-01,2022,9,1
OX432774,BF.7.7,29854,United Kingdom,2022-10-14,2022,10,14
OX432778,BE.7,29849,United Kingdom,2022-12-28,2022,12,28
OX432782,BQ.1.1.69,29851,United Kingdom,2022-12-28,2022,12,28
OX432788,BF.11.1,29850,United Kingdom,2022-10-21,2022,10,21
OX432789,BQ.1.1.21,29850,United Kingdom,2022-12-05,2022,12,5
OX432801,BA.2.12.1,29857,United Kingdom,2022-06-22,2022,6,22
OX432805,BA.5.2,29848,United Kingdom,2022-11-11,2022,11,11
OX432808,BA.5.1.5,29849,United Kingdom,2022-07-15,2022,7,15
OX432810,XBB.1.2,29855,United Kingdom,2022-12-01,2022,12,1
OX432815,BN.1.5,29850,United Kingdom,2022-10-24,2022,10,24
OX432818,BA.4.6,29843,United Kingdom,2022-12-07,2022,12,7
OX432824,BF.11,29851,United Kingdom,2022-11-07,2022,11,7
OX432833,BA.2,29848,United Kingdom,2022-11-07,2022,11,7
OX432839,BA.4,29845,United Kingdom,2022-08-02,2022,8,2
OX432840,BE.1,29846,United Kingdom,2022-09-13,2022,9,13
OX432843,BA.4.1,29835,United Kingdom,2022-08-16,2022,8,16
OX432848,BE.4.1.1,29841,United Kingdom,2022-10-25,2022,10,25
OX432850,BA.5.2.58,29843,United Kingdom,2022-12-29,2022,12,29
OX432851,CA.7,29855,United Kingdom,2022-12-27,2022,12,27
OX432856,BA.5.1.10,29832,United Kingdom,2022-08-21,2022,8,21
OX432860,BN.1.3.1,29842,United Kingdom,2022-11-11,2022,11,11
OX432869,BA.5.1.23,29850,United Kingdom,2022-07-11,2022,7,11
OX432873,BA.5.1,29852,United Kingdom,2022-11-02,2022,11,2
OX432874,BF.7.21,29846,United Kingdom,2022-11-05,2022,11,5
OX432875,DN.1.1,29844,United Kingdom,2022-12-29,2022,12,29
OX432876,XBF.3,29858,United Kingdom,2022-12-29,2022,12,29
OX432878,BA.5.1.24,29851,United Kingdom,2022-06-28,2022,6,28
OX432879,BA.5.2.35,29844,United Kingdom,2022-12-21,2022,12,21
OX432884,BA.5.2.47,29851,United Kingdom,2022-10-24,2022,10,24
OX432889,BF.7.5,29846,United Kingdom,2022-11-03,2022,11,3
OX432899,BQ.1.1,29844,United Kingdom,2022-09-30,2022,9,30
OX432907,BA.1.1,29873,United Kingdom,2022-04-05,2022,4,5
OX432910,BQ.1.1.4,29845,United Kingdom,2022-11-04,2022,11,4
OX432916,BA.4.6,29836,United Kingdom,2022-08-18,2022,8,18
OX432918,CR.1,29875,United Kingdom,2022-11-12,2022,11,12
OX432922,BA.5.1.4,29853,United Kingdom,2022-07-19,2022,7,19
OX432927,EF.1,29851,United Kingdom,2022-12-24,2022,12,24
OX432931,BF.27,29847,United Kingdom,2022-10-16,2022,10,16
OX432943,BA.4.6.5,29832,United Kingdom,2022-11-10,2022,11,10
OX432952,BA.5.2.23,29851,United Kingdom,2022-12-21,2022,12,21
OX432953,BA.5.2.14,29844,United Kingdom,2022-10-05,2022,10,5
OX432958,BQ.1.10,29854,United Kingdom,2022-12-02,2022,12,2
OX432962,XAZ,29844,United Kingdom,2022-07-11,2022,7,11
OX433005,BA.5.2.9,29846,United Kingdom,2022-11-03,2022,11,3
OX433022,BE.1,29844,United Kingdom,2022-08-16,2022,8,16
OX433028,BA.5.2.13,29854,United Kingdom,2022-12-19,2022,12,19
OX433033,BA.5.2.1,29857,United Kingdom,2022-12-30,2022,12,30
OX433046,BF.14,29843,United Kingdom,2022-12-21,2022,12,21
OX433058,CP.1.1,29834,United Kingdom,2022-11-14,2022,11,14
OX433068,BA.5.1,29845,United Kingdom,2022-05-29,2022,5,29
OX433074,BF.7.6,29851,United Kingdom,2022-11-07,2022,11,7
OX433081,BA.2,29853,United Kingdom,2022-04-04,2022,4,4
OX433091,BF.11,29852,United Kingdom,2022-08-13,2022,8,13
OX433098,BF.7.12,29844,United Kingdom,2022-10-15,2022,10,15
OX433100,BE.1.1.2,29845,United Kingdom,2022-10-12,2022,10,12
OX433111,BA.5.9,29846,United Kingdom,2022-10-23,2022,10,23
OX433118,CY.1,29849,United Kingdom,2022-11-25,2022,11,25
OX433121,BQ.1.1.8,29852,United Kingdom,2022-12-30,2022,12,30
OX433126,BN.1.5,29851,United Kingdom,2022-12-04,2022,12,4
OX433142,BN.1.4.1,29858,United Kingdom,2022-12-22,2022,12,22
OX433160,BA.5.6,29850,United Kingdom,2022-07-23,2022,7,23
OX433178,BE.1.1.1,29851,United Kingdom,2022-12-04,2022,12,4
OX433180,CL.1.3,29847,United Kingdom,2022-12-29,2022,12,29
OX433186,BA.5.2.56,29844,United Kingdom,2022-10-09,2022,10,9
OX433193,BQ.1.8.2,29843,United Kingdom,2022-12-25,2022,12,25
OX433195,BF.2,29852,United Kingdom,2022-10-26,2022,10,26
OX433200,BA.5.2.33,29850,United Kingdom,2022-08-18,2022,8,18
OX433205,BA.2.23,29857,United Kingdom,2022-07-15,2022,7,15
OX433243,BA.5,29844,United Kingdom,2022-10-27,2022,10,27
OX433253,BE.1.2,29825,United Kingdom,2022-09-29,2022,9,29
OX433268,BA.5.1.30,29844,United Kingdom,2022-10-03,2022,10,3
OX433272,BF.11,29844,United Kingdom,2022-10-25,2022,10,25
OX433276,BQ.1.1.1,29844,United Kingdom,2022-11-29,2022,11,29
OX433277,BQ.1.1.39,29844,United Kingdom,2022-12-20,2022,12,20
OX433311,BA.2,29859,United Kingdom,2022-06-21,2022,6,21
OX433321,BA.5.9,29854,United Kingdom,2022-12-18,2022,12,18
OX433325,BQ.1.1.18,29844,United Kingdom,2022-11-28,2022,11,28
OX433327,BF.7.23,29844,United Kingdom,2022-09-22,2022,9,22
OX433337,BA.2.75.2,29850,United Kingdom,2022-09-02,2022,9,2
OX433344,BF.4,29804,United Kingdom,2022-08-21,2022,8,21
OX433351,BF.8,29845,United Kingdom,2022-10-02,2022,10,2
OX433352,BE.1.1,29844,United Kingdom,2022-11-10,2022,11,10
OX433366,BA.5.1.5,29851,United Kingdom,2022-10-07,2022,10,7
OX433374,CL.1.3,29849,United Kingdom,2022-11-14,2022,11,14
OX433384,BA.4.1.8,29830,United Kingdom,2022-10-14,2022,10,14
OX433390,BA.5.2.26,29852,United Kingdom,2022-10-27,2022,10,27
OX433391,CH.1.1.2,29851,United Kingdom,2022-12-27,2022,12,27
OX433401,BA.5.1.5,29847,United Kingdom,2022-09-29,2022,9,29
OX433418,BA.2.3.20,29850,United Kingdom,2022-11-16,2022,11,16
OX433435,BF.28,29846,United Kingdom,2022-06-30,2022,6,30
OX433437,BF.7.5,29844,United Kingdom,2022-09-27,2022,9,27
OX433461,BA.5.1.24,29844,United Kingdom,2022-09-28,2022,9,28
OX433466,BA.5.1.22,29844,United Kingdom,2022-09-14,2022,9,14
OX433477,BA.5.1.23,29851,United Kingdom,2022-09-17,2022,9,17
OX433480,BA.5.1.35,29852,United Kingdom,2022-07-11,2022,7,11
OX433483,BF.5,29844,United Kingdom,2022-09-30,2022,9,30
OX433487,BA.5.1.23,29844,United Kingdom,2022-10-06,2022,10,6
OX433490,BA.5.1.2,29851,United Kingdom,2022-07-18,2022,7,18
OX433499,BF.7.24,29844,United Kingdom,2022-10-08,2022,10,8
OX433509,BQ.1.1.3,29846,United Kingdom,2022-11-27,2022,11,27
OX433537,BA.5,29847,United Kingdom,2022-08-02,2022,8,2
OX433546,BF.28,29852,United Kingdom,2022-07-09,2022,7,9
OX433560,BA.5.2.21,29844,United Kingdom,2022-10-06,2022,10,6
OX433564,BW.1.1.1,29841,United Kingdom,2022-11-21,2022,11,21
OX433570,BF.13,29846,United Kingdom,2022-09-29,2022,9,29
OX433575,BA.4.1.8,29828,United Kingdom,2022-11-03,2022,11,3
OX433620,BA.1.8,29873,United Kingdom,2022-03-04,2022,3,4
OX433631,EC.1,29849,United Kingdom,2022-12-26,2022,12,26
OX433641,BQ.1.1.69,29845,United Kingdom,2022-11-17,2022,11,17
OX433650,BA.5.1.17,29841,United Kingdom,2022-10-07,2022,10,7
OX433660,BQ.1.1.31,29848,United Kingdom,2022-12-15,2022,12,15
OX433682,BQ.1.1.42,29844,United Kingdom,2022-12-20,2022,12,20
OX433685,BQ.1.1.29,29845,United Kingdom,2022-11-10,2022,11,10
OX433692,BF.5,29843,United Kingdom,2022-11-09,2022,11,9
OX433695,BA.5.5,29838,United Kingdom,2022-09-12,2022,9,12
OX433711,BA.5.1.2,29847,United Kingdom,2022-10-23,2022,10,23
OX433735,BE.1.1.1,29849,United Kingdom,2022-11-27,2022,11,27
OX433740,BA.5.2.33,29850,United Kingdom,2022-10-19,2022,10,19
OX433754,BA.5.2.14,29851,United Kingdom,2022-08-13,2022,8,13
OX433757,BQ.1.1.3,29853,United Kingdom,2022-12-17,2022,12,17
OX433773,BA.2.12.1,29844,United Kingdom,2022-09-22,2022,9,22
OX433777,BF.11.2,29852,United Kingdom,2022-12-27,2022,12,27
OX433796,BA.5.2.14,29845,United Kingdom,2022-09-27,2022,9,27
OX433802,BE.1.4,29846,United Kingdom,2022-09-15,2022,9,15
OX433807,XBB.1.4.1,29854,United Kingdom,2022-12-24,2022,12,24
OX433815,BA.5.1.30,29854,United Kingdom,2022-07-20,2022,7,20
OX433820,BE.1.1.1,29854,United Kingdom,2022-07-29,2022,7,29
OX433824,CK.2.1,29841,United Kingdom,2022-12-14,2022,12,14
OX433825,BQ.1.26,29852,United Kingdom,2022-11-11,2022,11,11
OX433839,BA.5.6,29850,United Kingdom,2022-08-22,2022,8,22
OX433842,XBB.1,29847,United Kingdom,2022-10-24,2022,10,24
OX433858,BA.5.2.35,29850,United Kingdom,2022-11-05,2022,11,5
OX433867,BF.26,29853,United Kingdom,2022-10-28,2022,10,28
OX433875,BF.14,29843,United Kingdom,2022-10-10,2022,10,10
OX433877,BE.1.1,29838,United Kingdom,2022-09-13,2022,9,13
OX433880,BA.5.2.35,29844,United Kingdom,2022-10-07,2022,10,7
OX433903,BA.5.2.1,29851,United Kingdom,2022-11-28,2022,11,28
OX433914,CK.2.1,29854,United Kingdom,2022-10-11,2022,10,11
OX433919,BQ.1.5,29851,United Kingdom,2022-11-28,2022,11,28
OX433926,BA.5.2.6,29846,United Kingdom,2022-10-26,2022,10,26
OX433929,BF.5,29849,United Kingdom,2022-08-09,2022,8,9
OX433940,BA.5.2.13,29844,United Kingdom,2022-11-10,2022,11,10
OX433959,BQ.1.13,29844,United Kingdom,2022-11-18,2022,11,18
OX433976,BF.7.4.2,29844,United Kingdom,2022-09-23,2022,9,23
OX433992,BA.4.6.1,29843,United Kingdom,2022-09-02,2022,9,2
OX434001,BR.2.1,29850,United Kingdom,2022-12-30,2022,12,30
OX434007,BQ.1.18,29841,United Kingdom,2022-11-27,2022,11,27
OX434012,BA.5.3.1,29843,United Kingdom,2022-10-24,2022,10,24
OX434026,BQ.1.20,29847,United Kingdom,2022-12-20,2022,12,20
OX434027,BA.4.1.8,29794,United Kingdom,2022-12-19,2022,12,19
OX434049,BA.5.1.6,29849,United Kingdom,2022-10-11,2022,10,11
OX434057,BA.4.6.1,29838,United Kingdom,2022-10-16,2022,10,16
OX434076,BA.5.1.12,29851,United Kingdom,2022-08-20,2022,8,20
OX434086,BA.5.1.12,29844,United Kingdom,2022-10-02,2022,10,2
OX434116,BF.14,29844,United Kingdom,2022-09-26,2022,9,26
OX434150,BF.7.4.2,29850,United Kingdom,2022-11-12,2022,11,12
OX434158,BA.5.5,29847,United Kingdom,2022-08-16,2022,8,16
OX434192,BQ.1.1.5,29841,United Kingdom,2022-11-10,2022,11,10
OX434201,BA.5.2.18,29846,United Kingdom,2022-11-12,2022,11,12
OX434203,BA.5.2.20,29850,United Kingdom,2022-09-23,2022,9,23
OX434224,BA.2.75.2,29850,United Kingdom,2022-12-22,2022,12,22
OX434227,BA.4.6,29838,United Kingdom,2022-11-03,2022,11,3
OX434233,BQ.1.1.6,29846,United Kingdom,2022-10-24,2022,10,24
OX434244,BA.2.75.1,29850,United Kingdom,2022-09-03,2022,9,3
OX434273,BA.5,29846,United Kingdom,2022-09-23,2022,9,23
OX434280,BA.5.1.10,29844,United Kingdom,2022-07-12,2022,7,12
OX434294,BQ.1.16,29853,United Kingdom,2022-12-04,2022,12,4
OX434314,BF.7.19,29847,United Kingdom,2022-10-28,2022,10,28
OX434331,BQ.1.14,29853,United Kingdom,2022-11-04,2022,11,4
OX434352,DN.1,29844,United Kingdom,2022-12-20,2022,12,20
OX434364,DV.2,29850,United Kingdom,2022-12-19,2022,12,19
OX434365,BA.5.1.12,29849,United Kingdom,2022-09-16,2022,9,16
OX434384,BF.3,29847,United Kingdom,2022-08-16,2022,8,16
OX434391,BA.5.1.24,29842,United Kingdom,2022-08-11,2022,8,11
OX434392,BF.7.22,29849,United Kingdom,2022-12-20,2022,12,20
OX434398,BA.5.2.58,29849,United Kingdom,2022-11-02,2022,11,2
OX434418,XBC.1.1.1,29877,United Kingdom,2022-12-30,2022,12,30
OX434423,BY.1,29850,United Kingdom,2022-12-23,2022,12,23
OX434427,BA.5.1.5,29847,United Kingdom,2022-11-25,2022,11,25
OX434454,BN.1.3,29853,United Kingdom,2022-12-17,2022,12,17
OX434458,BA.2.10.1,29855,United Kingdom,2022-12-22,2022,12,22
OX434493,BA.5.3.1,29846,United Kingdom,2022-09-30,2022,9,30
OX434506,BQ.1.1.47,29854,United Kingdom,2022-12-24,2022,12,24
OX434509,BA.5.1.27,29846,United Kingdom,2022-12-14,2022,12,14
OX434523,BY.1,29858,United Kingdom,2022-10-13,2022,10,13
OX434527,BA.5.1.12,29852,United Kingdom,2022-11-08,2022,11,8
OX434555,DL.1,29850,United Kingdom,2022-12-21,2022,12,21
OX434565,BM.4.1.1,29856,United Kingdom,2022-11-14,2022,11,14
OX434567,BF.1,29847,United Kingdom,2022-08-22,2022,8,22
OX434616,BA.5.2.7,29847,United Kingdom,2022-11-08,2022,11,8
OX434625,BF.7.24,29844,United Kingdom,2022-08-31,2022,8,31
OX434637,BQ.1.1.24,29845,United Kingdom,2022-11-30,2022,11,30
OX434674,BA.4.7,29839,United Kingdom,2022-07-24,2022,7,24
OX434680,BR.1,29852,United Kingdom,2022-12-02,2022,12,2
OX434683,BA.5.2.7,29852,United Kingdom,2022-10-14,2022,10,14
OX434710,BA.4.1.1,29843,United Kingdom,2022-07-10,2022,7,10
